PROVPLATS_ID,NAMN_PROVPLATS,PROV_KOD_ORIGINAL,PROVTAG_SYFTE,PROVPLATS_MILJO,PROVPLATS_TYP,PROVTAG_DAT,PROVTAG_ORG,ACKR_PROV,PLATTFORM,PROVTAG_MET,DIREKT_BEHA
00105971,Stor-Tjulträsket,C1982/03801,NMO,SJO-SOTV-RINN,Bakgrund,1982-09-21,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03126,NMO,SJO-SOTV-RINN,Bakgrund,1982-06-21,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03127,NMO,SJO-SOTV-RINN,Bakgrund,1982-06-19,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03128,NMO,SJO-SOTV-RINN,Bakgrund,1982-05-22,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03129,NMO,SJO-SOTV-RINN,Bakgrund,1982-05-29,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03130,NMO,SJO-SOTV-RINN,Bakgrund,1982-05-20,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03131,NMO,SJO-SOTV-RINN,Bakgrund,1982-06-26,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03132,NMO,SJO-SOTV-RINN,Bakgrund,1982-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03133,NMO,SJO-SOTV-RINN,Bakgrund,1982-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03134,NMO,SJO-SOTV-RINN,Bakgrund,1982-05-29,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03135,NMO,SJO-SOTV-RINN,Bakgrund,1982-06-23,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03136,NMO,SJO-SOTV-RINN,Bakgrund,1982-06-23,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03137,NMO,SJO-SOTV-RINN,Bakgrund,1982-06-13,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03138,NMO,SJO-SOTV-RINN,Bakgrund,1982-06-13,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03139,NMO,SJO-SOTV-RINN,Bakgrund,1982-06-13,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03140,NMO,SJO-SOTV-RINN,Bakgrund,1982-06-24,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1982/03100-03109,NMO,SJO-SOTV-RINN,Bakgrund,1982-05-19,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1982/03141,NMO,SJO-SOTV-RINN,Bakgrund,1982-06-24,NRM,Nej,SMABAT,Natfiske,FRYST
NA,NA,C1982/03846,NMO,SJO-SOTV-RINN,Bakgrund,1982-10-01,NRM,Nej,SMABAT,Natfiske,FRYST
NA,NA,C1982/03847,NMO,SJO-SOTV-RINN,Bakgrund,1982-10-01,NRM,Nej,SMABAT,Natfiske,FRYST
00104727,Krankesjön,C1983/03001,NMO,SJO-SOTV-RINN,Bakgrund,1982-10,NRM,Nej,SMABAT,Natfiske,FRYST
