PROV_KOD_ORIGINAL,ART,DYNTAXA_TAXON_ID,KON,ANTAL,KOMMENTAR_PROV
C1981/03997,Abborre,206198,,1,
C1981/03998,Abborre,206198,,1,
C1981/03999,Abborre,206198,,1,
C1981/04000,Abborre,206198,,1,
C1981/04001,Abborre,206198,,1,
C1981/03571,Abborre,206198,,1,
C1981/03572,Abborre,206198,,1,
C1981/03573,Abborre,206198,,1,
C1981/03574,Abborre,206198,,1,
C1981/03575,Abborre,206198,,1,
C1981/03576,Abborre,206198,,1,
C1981/03577,Abborre,206198,,1,
C1981/03578,Abborre,206198,,1,
C1981/03579,Abborre,206198,,1,
C1981/03580,Abborre,206198,,1,
C1981/03581,Abborre,206198,,1,
C1981/03581-03590,Abborre,206198,X,10,
C1981/03582,Abborre,206198,,1,
C1981/03583,Abborre,206198,,1,
C1981/03584,Abborre,206198,,1,
C1981/03585,Abborre,206198,,1,
