PROV_KOD_ORIGINAL,ART,DYNTAXA_TAXON_ID,KON,ANTAL,KOMMENTAR_PROV
C1982/03131,Gadda,206139,,1,
C1982/03132,Gadda,206139,,1,
C1982/03133,Gadda,206139,,1,
C1982/03134,Gadda,206139,,1,
C1982/03135,Gadda,206139,,1,
C1982/03136,Gadda,206139,,1,
C1982/03137,Gadda,206139,,1,
C1982/03138,Gadda,206139,,1,
C1982/03139,Gadda,206139,,1,
C1982/03140,Gadda,206139,,1,
C1982/03100-03109,Gadda,206139,X,10,
C1982/03141,Gadda,206139,,1,
C1982/03846,Abborre,206198,,1,
C1982/03847,Abborre,206198,,1,
C1983/03001,Mort,206135,,1,
