PARAMETERNAMN,UNIK_PARAMETERKOD,PROV_KOD_ORIGINAL,RAPPORT_KOD_LABB,LABB,UTFOR_LABB,ORGAN,MATVARDETEXT,MATVARDETAL,MATVARDETAL_ANM,ENHET,MATV_STD,RAPPORTERINGSGRANS_LOQ,DETEKTIONSGRANS_LOD,MATOSAKERHET,MATOSAKERHET_ENHET,MATOSAKERHET_TYP,MATVARDESPAR,DATUM_REG,PROV_LAGR,PROV_BERED,PROVKARL,ANALYS_DAT,ANALYS_MET,ACKREDITERAD_MET,ANALYS_INSTR,KOMMENTAR_MATVARDE
Ålder (medelvärde),CH12/241,C1967/08001-08010,C1967/08001-08010 NA,NRM,,HELKROPP,,0,"",ar,"",,,,,,"",,FRYST,,,,,,,
"2,2',4,4',5,6'-Hexabromdifenyleter (PBDE154)",CH07/139,C1967/08001-08010,C1967/08001-08010 POOL 820427-436,NSL,,,,0.333,"",ng.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,2',4,4',5,5'-Hexabromdifenyleter (PBDE153)",CH07/137,C1967/08001-08010,C1967/08001-08010 POOL 820427-436,NSL,,,,0.35,"",ng.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1967/08001,C1967/08001 NA,NRM,,HELKROPP,,1180,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1967/08001,C1967/08001 ZT55,TRC,,MUSKEL,,370,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1967/08001,C1967/08001 820427,NSL,,MUSKEL,,0.87,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1967/08002,C1967/08002 NA,NRM,,HELKROPP,,845,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1967/08002,C1967/08002 ZT56,TRC,,MUSKEL,,410,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1967/08002,C1967/08002 820428,NSL,,MUSKEL,,0.76,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1967/08003,C1967/08003 NA,NRM,,HELKROPP,,1075,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1967/08003,C1967/08003 ZT54,TRC,,MUSKEL,,355,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1967/08003,C1967/08003 820429,NSL,,MUSKEL,,0.72,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1967/08004,C1967/08004 NA,NRM,,HELKROPP,,1790,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1967/08004,C1967/08004 ZT53,TRC,,MUSKEL,,460,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1967/08004,C1967/08004 820430,NSL,,MUSKEL,,0.74,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1967/08005,C1967/08005 NA,NRM,,HELKROPP,,1760,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1967/08005,C1967/08005 ZT62,TRC,,MUSKEL,,420,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1967/08005,C1967/08005 820431,NSL,,MUSKEL,,0.98,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1967/08006,C1967/08006 NA,NRM,,HELKROPP,,570,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1967/08006,C1967/08006 ZT60,TRC,,MUSKEL,,430,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1967/08006,C1967/08006 820432,NSL,,MUSKEL,,0.66,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1967/08007,C1967/08007 NA,NRM,,HELKROPP,,860,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1967/08007,C1967/08007 ZT59,TRC,,MUSKEL,,300,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1967/08007,C1967/08007 820433,NSL,,MUSKEL,,0.81,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1967/08008,C1967/08008 NA,NRM,,HELKROPP,,2210,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1967/08008,C1967/08008 ZT61,TRC,,MUSKEL,,760,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1967/08008,C1967/08008 820434,NSL,,MUSKEL,,0.71,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1967/08009,C1967/08009 NA,NRM,,HELKROPP,,555,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1967/08009,C1967/08009 ZT58,TRC,,MUSKEL,,190,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1967/08009,C1967/08009 820435,NSL,,MUSKEL,,0.74,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1967/08010,C1967/08010 NA,NRM,,HELKROPP,,725,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1967/08010,C1967/08010 ZT57,TRC,,MUSKEL,,395,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1967/08010,C1967/08010 820436,NSL,,MUSKEL,,0.74,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"2,2',4,4',5,6'-Hexabromdifenyleter (PBDE154)",CH07/139,C68/,C68/ POOL 820437-446,NSL,,MUSKEL,,0.289,"",ng.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,2',4,4',5,5'-Hexabromdifenyleter (PBDE153)",CH07/137,C68/,C68/ POOL 820437-446,NSL,,MUSKEL,,0.37,"",ng.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C68/,C68/ POOL 820437-446,NRM,,HELKROPP,,900,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C68/,C68/ OL93,TRC,,MUSKEL,,190,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C68/,C68/ OL93,NRM,,HELKROPP,,950,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C68/,C68/ OL94,TRC,,MUSKEL,,198,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C68/,C68/ OL94,NRM,,HELKROPP,,200,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C68/,C68/ OL95,TRC,,MUSKEL,,130,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C68/,C68/ OL95,NRM,,HELKROPP,,2350,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C68/,C68/ OL96,TRC,,MUSKEL,,510,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C68/,C68/ OL96,NRM,,HELKROPP,,2700,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C68/,C68/ OM 1,TRC,,MUSKEL,,390,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C68/,C68/ OM 1,NRM,,HELKROPP,,1250,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C68/,C68/ OM 2,TRC,,MUSKEL,,200,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C68/,C68/ OM 2,NRM,,HELKROPP,,1000,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C68/,C68/ OM 3,TRC,,MUSKEL,,202,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C68/,C68/ OM 4,TRC,,MUSKEL,,207,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C68/,C68/ OM 4,NRM,,HELKROPP,,1300,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C68/,C68/ OM 5,TRC,,MUSKEL,,350,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C68/,C68/ OM 5,NRM,,HELKROPP,,850,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C68/,C68/ OM 6,TRC,,MUSKEL,,252,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C68/,C68/ OM 7,TRC,,MUSKEL,,274,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C68/,C68/ OM 8,TRC,,MUSKEL,,650,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08015,C1968/08015 NA,NRM,,HELKROPP,,600,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08015,C1968/08015 ZZ54,TRC,,MUSKEL,,350,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1968/08015,C1968/08015 820437,NSL,,MUSKEL,,0.76,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08016,C1968/08016 NA,NRM,,HELKROPP,,800,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08016,C1968/08016 ZZ55,TRC,,MUSKEL,,395,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1968/08016,C1968/08016 820438,NSL,,MUSKEL,,0.78,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08017,C1968/08017 NA,NRM,,HELKROPP,,875,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08017,C1968/08017 ZZ56,TRC,,MUSKEL,,385,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1968/08017,C1968/08017 820439,NSL,,MUSKEL,,0.83,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08018,C1968/08018 NA,NRM,,HELKROPP,,700,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08018,C1968/08018 ZZ57,TRC,,MUSKEL,,430,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1968/08018,C1968/08018 820440,NSL,,MUSKEL,,0.88,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08019,C1968/08019 NA,NRM,,HELKROPP,,975,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08019,C1968/08019 ZZ58,TRC,,MUSKEL,,335,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1968/08019,C1968/08019 820441,NSL,,MUSKEL,,0.92,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08020,C1968/08020 NA,NRM,,HELKROPP,,700,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08020,C1968/08020 ZZ59,TRC,,MUSKEL,,445,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1968/08020,C1968/08020 820442,NSL,,MUSKEL,,0.7,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08021,C1968/08021 NA,NRM,,HELKROPP,,825,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08021,C1968/08021 ZZ60,TRC,,MUSKEL,,425,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1968/08021,C1968/08021 820443,NSL,,MUSKEL,,1,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08022,C1968/08022 NA,NRM,,HELKROPP,,825,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08022,C1968/08022 ZZ61,TRC,,MUSKEL,,390,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1968/08022,C1968/08022 820444,NSL,,MUSKEL,,0.76,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08023,C1968/08023 NA,NRM,,HELKROPP,,950,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08023,C1968/08023 ZZ62,TRC,,MUSKEL,,435,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1968/08023,C1968/08023 820445,NSL,,MUSKEL,,1.03,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08024,C1968/08024 NA,NRM,,HELKROPP,,800,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08024,C1968/08024 ZZ63,TRC,,MUSKEL,,390,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1968/08024,C1968/08024 820446,NSL,,MUSKEL,,0.77,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08001,C1968/08001 NA,NRM,,HELKROPP,,470,"",g,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08001,C1968/08001 2483-M112,ITMLAM,,MUSKEL,,20.9,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08001,C1968/08001 2483-M112,ITMM,,MUSKEL,,191,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08001,C1968/08001 2483-L154,ITMLAM,,LEVER,,42.8,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1968/08001,C1968/08001 2483-L154,ITMM,,LEVER,,0.34,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1968/08001,C1968/08001 2483-L154,ITMM,,LEVER,,0.05,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Koppar,CH01/77,C1968/08001,C1968/08001 2483-L154,ITMM,,LEVER,,3.95,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1968/08001,C1968/08001 2483-L154,ITMM,,LEVER,,324,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1968/08001,C1968/08001 2483-L154,ITMM,,LEVER,,0.078,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1968/08001,C1968/08001 2483-L154,ITMM,,LEVER,,0.13,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08002,C1968/08002 NA,NRM,,HELKROPP,,390,"",g,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08002,C1968/08002 2483-M113,ITMLAM,,MUSKEL,,22.4,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08002,C1968/08002 2483-M113,ITMM,,MUSKEL,,133,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08002,C1968/08002 2483-L155,ITMLAM,,LEVER,,38.3,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1968/08002,C1968/08002 2483-L155,ITMM,,LEVER,,0.22,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1968/08002,C1968/08002 2483-L155,ITMM,,LEVER,,0.05,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Koppar,CH01/77,C1968/08002,C1968/08002 2483-L155,ITMM,,LEVER,,4.91,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1968/08002,C1968/08002 2483-L155,ITMM,,LEVER,,312,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1968/08002,C1968/08002 2483-L155,ITMM,,LEVER,,0.07,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1968/08002,C1968/08002 2483-L155,ITMM,,LEVER,,0.07,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08003,C1968/08003 NA,NRM,,HELKROPP,,440,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08004,C1968/08004 NA,NRM,,HELKROPP,,475,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08005,C1968/08005 NA,NRM,,HELKROPP,,380,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08006,C1968/08006 NA,NRM,,HELKROPP,,400,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08007,C1968/08007 NA,NRM,,HELKROPP,,255,"",g,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08007,C1968/08007 2483-M114,ITMLAM,,MUSKEL,,21.2,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08007,C1968/08007 2483-M114,ITMM,,MUSKEL,,180,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08007,C1968/08007 2483-L156,ITMLAM,,LEVER,,47.9,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1968/08007,C1968/08007 2483-L156,ITMM,,LEVER,,0.25,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1968/08007,C1968/08007 2483-L156,ITMM,,LEVER,,0.06,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Koppar,CH01/77,C1968/08007,C1968/08007 2483-L156,ITMM,,LEVER,,4.15,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1968/08007,C1968/08007 2483-L156,ITMM,,LEVER,,131,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1968/08007,C1968/08007 2483-L156,ITMM,,LEVER,,0.088,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1968/08007,C1968/08007 2483-L156,ITMM,,LEVER,,0.07,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08008,C1968/08008 NA,NRM,,HELKROPP,,375,"",g,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08008,C1968/08008 2483-M115,ITMLAM,,MUSKEL,,20.9,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08008,C1968/08008 2483-M115,ITMM,,MUSKEL,,177,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08008,C1968/08008 2483-L157,ITMLAM,,LEVER,,61.2,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1968/08008,C1968/08008 2483-L157,ITMM,,LEVER,,0.33,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1968/08008,C1968/08008 2483-L157,ITMM,,LEVER,,0.06,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Koppar,CH01/77,C1968/08008,C1968/08008 2483-L157,ITMM,,LEVER,,2.44,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1968/08008,C1968/08008 2483-L157,ITMM,,LEVER,,75,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1968/08008,C1968/08008 2483-L157,ITMM,,LEVER,,0.034,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1968/08008,C1968/08008 2483-L157,ITMM,,LEVER,,0.04,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08009,C1968/08009 NA,NRM,,HELKROPP,,310,"",g,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08009,C1968/08009 2483-M116,ITMLAM,,MUSKEL,,19.1,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08009,C1968/08009 2483-M116,ITMM,,MUSKEL,,110,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08009,C1968/08009 2483-L158,ITMLAM,,LEVER,,42.2,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1968/08009,C1968/08009 2483-L158,ITMM,,LEVER,,0.3,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1968/08009,C1968/08009 2483-L158,ITMM,,LEVER,,0.09,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Koppar,CH01/77,C1968/08009,C1968/08009 2483-L158,ITMM,,LEVER,,8.11,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1968/08009,C1968/08009 2483-L158,ITMM,,LEVER,,170,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1968/08009,C1968/08009 2483-L158,ITMM,,LEVER,,0.107,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1968/08009,C1968/08009 2483-L158,ITMM,,LEVER,,0.08,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08010,C1968/08010 NA,NRM,,HELKROPP,,345,"",g,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08010,C1968/08010 2483-M117,ITMLAM,,MUSKEL,,20,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08010,C1968/08010 2483-M117,ITMM,,MUSKEL,,128,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08010,C1968/08010 2483-L159,ITMLAM,,LEVER,,40.5,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1968/08010,C1968/08010 2483-L159,ITMM,,LEVER,,0.24,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1968/08010,C1968/08010 2483-L159,ITMM,,LEVER,,0.18,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Koppar,CH01/77,C1968/08010,C1968/08010 2483-L159,ITMM,,LEVER,,5.91,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1968/08010,C1968/08010 2483-L159,ITMM,,LEVER,,177,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1968/08010,C1968/08010 2483-L159,ITMM,,LEVER,,0.082,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1968/08010,C1968/08010 2483-L159,ITMM,,LEVER,,0.13,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08011,C1968/08011 NA,NRM,,HELKROPP,,375,"",g,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08011,C1968/08011 2483-M118,ITMLAM,,MUSKEL,,24.3,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08011,C1968/08011 2483-M118,ITMM,,MUSKEL,,140,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08011,C1968/08011 2483-L160,ITMLAM,,LEVER,,62.6,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1968/08011,C1968/08011 2483-L160,ITMM,,LEVER,,0.29,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1968/08011,C1968/08011 2483-L160,ITMM,,LEVER,,0.05,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Koppar,CH01/77,C1968/08011,C1968/08011 2483-L160,ITMM,,LEVER,,2.87,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1968/08011,C1968/08011 2483-L160,ITMM,,LEVER,,110,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1968/08011,C1968/08011 2483-L160,ITMM,,LEVER,,0.069,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1968/08011,C1968/08011 2483-L160,ITMM,,LEVER,,0.06,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08012,C1968/08012 NA,NRM,,HELKROPP,,225,"",g,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08012,C1968/08012 2483-M119,ITMLAM,,MUSKEL,,21.8,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08012,C1968/08012 2483-M119,ITMM,,MUSKEL,,165,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08012,C1968/08012 2483-L161,ITMLAM,,LEVER,,42.3,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1968/08012,C1968/08012 2483-L161,ITMM,,LEVER,,0.32,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1968/08012,C1968/08012 2483-L161,ITMM,,LEVER,,0.32,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Koppar,CH01/77,C1968/08012,C1968/08012 2483-L161,ITMM,,LEVER,,5.45,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1968/08012,C1968/08012 2483-L161,ITMM,,LEVER,,145,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1968/08012,C1968/08012 2483-L161,ITMM,,LEVER,,0.097,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1968/08012,C1968/08012 2483-L161,ITMM,,LEVER,,0.23,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
